city,state_abbr,elec_score,gas_score
Abbeville,LA,1032.3837732611082,7298.635660107988
Abbotsford,WI,675.7972464473859,3302.65067068042
Aberdeen,MD,1626.990709734791,5936.806655860056
Aberdeen,MS,4694.645705607493,40767.499287596176
Aberdeen,NJ,35632.94591121578,127428.29530441808
Aberdeen,SD,25050.715105908297,260431.43221108237
Aberdeen,WA,5276.162522273762,19926.91412372936
Abernathy,TX,542.3302365782637,1978.935551953352
Abilene,KS,863.4344616492618,6472.972992437883
Abilene,TX,157413.3892127787,1183602.7825873736
Abington,MA,158751.42131407536,1577115.788847481
Abington,PA,135241.8717909139,911023.2156468784
Abita Springs,LA,240.03224085817578,721.2424583654359
Absecon,NJ,2587.007573964497,11350.381065088757
Acton,MA,110351.20676693042,487820.3281930786
Acton,ME,63504.483384276966,300614.311747903
Acton,NH,38102.690030566184,180368.5870487418
Acushnet,MA,79239.3766945307,1156282.6277687647
Acworth,NH,6109.927525243746,16784.89830608479
Ada,OK,19970.356734952886,90040.89422378379
Adair,OK,337.89862322369294,1651.32533534021
Adams,MA,48312.59128845051,421096.23849945
Adams,NY,4487.765960359715,28122.490858277193
Adams,PA,265912.20095340913,2211666.085686278
Adamstown,PA,7106.330045409697,46098.43700460768
Adamsville,TN,11003.680907131584,30362.59630842252
Addis,LA,6764.412372925536,66926.51542271266
Addison,IL,2197270.1424967893,14267761.547523629
Addison,MD,14378.91378370288,112805.94845637013
Addison,ME,11584.76499762557,59843.87173561046
Addison,PA,23964.856306171467,188009.9140939502
Addison,TX,90233.8773257867,578488.9316134951
Addison,VT,2590.3033849477856,19418.918977313646
Addyston,KY,6884.428493354624,67287.13665189539
Addyston,OH,20653.28548006387,201861.40995568613
Adel,IA,168.94931161184647,825.662667670105
Adelanto,CA,181684.74915076315,1385580.8628376634
Adrian,MI,7011.573233027876,47499.55139574286
Afton,MN,1436.0619945641497,5607.259642828647
Afton,NY,6194.30263956665,43791.81396064792
Afton,WI,478.68733152138327,1869.0865476095487
Afton,WY,1502.4517290586111,5960.842793171597
Agawam Town,CT,73264.66952923663,437475.52591561334
Agawam Town,MA,219794.0085877099,1312426.5777468402
Agoura Hills,CA,95491.04230408111,626199.0600238249
Ainsworth,NE,904.0131511709402,6391.185325355347
Airway Heights,WA,48076.94858332118,223701.51845147103
Aitkin,MN,1032.3837732611082,7298.635660107988
Akron,OH,1522030.234858441,10493708.2821714
Akutan,AK,863.4344616492618,6472.972992437883
Alabama,NY,846.5990083905415,2284.0914569031274
Alameda,CA,111127.50848123129,542344.9225676936
Alamo,TX,14971.644345485975,84140.30361793995
Alamo Heights,TX,1013.35380118238,6828.379521190966
Alamogordo,NM,5264.696231440049,34207.63004670828
Alamosa,CO,1153.3264887454714,7624.934439665578
Alba,MO,506.8479348355394,2476.988003010315
Albany,CA,16871.4836275896,81715.78620954492
Albany,IN,506.8479348355394,2476.988003010315
Albany,KY,1290.8908017017752,7856.285382239404
Albany,MO,5958.704210317815,51589.00480638316
Albany,NY,361156.1246508303,3116095.4505641977
Albany,OR,71672.3858975215,470986.07665659394
Albany,PA,60275.86878309841,278495.0030601546
Albany,VT,1809.549199084668,3903.5480549199083
Albert Lea,MN,25099.45797284394,189537.1516278167
Albertville,MN,21351.475347893338,183932.04162400297
Albion,IN,373.3809249664172,1153.2728842832469
Albion,ME,7745.344810210651,47137.712293436416
Albion,MI,1615.2926993610504,9195.783544978804
Albion,NE,6780.260056509935,50756.443398822405
Albion,NY,506.8479348355394,2476.988003010315
Albion,PA,337.89862322369294,1651.32533534021
Albuquerque,NM,1171117.0719070595,7406418.489904464
Alcoa,TN,84829.7984382682,365367.4331529643
Aldan,PA,4129.535093044433,29194.54264043195
Alden,NY,116183.75950696121,636872.4280715865
Aledo,IL,168.94931161184647,825.662667670105
Aleppo,PA,675.7972464473859,3302.65067068042
