city,state_abbr,c_elec_score,c_gas_score,c_num_establishments,c_elec_1kdollars,c_elec_mwh,c_gas_1kdollars,c_gas_mcf,c_elec_lb_ghg,c_gas_lb_ghg,c_elec_class,c_gas_class
Abbeville,LA,22738.73837,36118.0366,315.0,3668.0,35874.0,585.0,73920.0,57242436.0,8873594.0,Very High,Very High
Abbot,ME,2288.799802,4329.585529,5.0,23.0,190.0,0.0,0.0,206707.0,0.0,Normal,Normal
Abbotsford,WI,18603.70296,26444.40527,61.0,592.0,5968.0,108.0,16440.0,6460008.0,1973481.0,Normal,Normal
Abbott,PA,297.68077,651.6389253,6.0,25.0,274.0,5.0,683.0,527464.0,81991.0,Normal,Normal
Abbott,TX,531.1820577999998,928.2673364,1.0,7.0,85.0,1.0,116.0,113766.0,13929.0,Normal,Normal
Abbottstown,PA,550.3237707999998,766.7134151,19.0,83.0,861.0,86.0,10969.0,1659700.0,1316795.0,Normal,Normal
Abbyville,KS,255.8195159,225.96319019999999,2.0,27.0,265.0,3.0,466.0,477452.0,55927.0,Normal,Normal
Abercrombie,MN,249.0717221,672.245875,16.0,127.0,1307.0,0.0,9.0,1414897.0,1081.0,Normal,Normal
Abercrombie,ND,498.14344410000007,1344.49175,16.0,127.0,1307.0,0.0,9.0,1414897.0,1081.0,Normal,Normal
Aberdeen,ID,2879.328782,3731.1246170000004,47.0,245.0,3164.0,146.0,20693.0,3902778.0,2484084.0,Normal,Normal
Aberdeen,MS,21390.3272,50693.34645,143.0,4049.0,38390.0,119.0,16486.0,64354095.0,1978975.0,Very High,Normal
Aberdeen,NJ,6221.92,10168.81,266.0,4223.0,36092.0,47.0,117135.0,69555106.0,14061141.0,Very High,Very High
Aberdeen,SD,6221.92,167591.2022,42.0,417.0,4199.0,123.0,21150.0,6139039.0,2538875.0,Normal,Normal
Aberdeen,WA,6221.92,10168.81,308.0,417.0,4199.0,47.0,116450.0,6139039.0,13978929.0,Normal,Very High
Abernathy,TX,5991.432617,7488.17451,71.0,583.0,6947.0,108.0,16265.0,14740967.0,1952553.0,Normal,Normal
Abilene,KS,29149.600739999998,64386.32551,195.0,3393.0,34169.0,584.0,79795.0,61531686.0,9578790.0,Very High,Very High
Abilene,TX,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Abingdon,IL,5663.890851,9738.330568000001,66.0,577.0,6491.0,0.0,0.0,6631549.0,0.0,Normal,Normal
Abington,MA,6221.92,10168.81,318.0,417.0,44852.0,47.0,7021.0,48676337.0,842786.0,Very High,Normal
Abington,PA,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Abita Springs,LA,13582.70973,19165.364990000002,49.0,850.0,9686.0,74.0,9333.0,15455230.0,1120401.0,Normal,Normal
Abrams,WI,108.87730390000002,221.51944269999996,11.0,95.0,1022.0,26.0,3989.0,1334366.0,478825.0,Normal,Normal
Absecon,NJ,6221.92,10168.81,152.0,2193.0,15320.0,0.0,9.0,29522769.0,1043.0,High,Normal
Accident,MD,1702.771591,3199.225043,18.0,87.0,847.0,30.0,3510.0,1443692.0,421347.0,Normal,Normal
Acequia,ID,313.626031,794.4648392000001,5.0,25.0,325.0,14.0,1917.0,400645.0,230134.0,Normal,Normal
Achille,OK,72.85249743,159.85100409999995,3.0,25.0,325.0,4.0,572.0,688831.0,68660.0,Normal,Normal
Ackerman,MS,12471.02049,35771.53416,29.0,347.0,2725.0,28.0,3834.0,4567854.0,460263.0,Normal,Normal
Ackley,IA,4098.071999,6704.639299,56.0,254.0,2783.0,86.0,14261.0,3012508.0,1711875.0,Normal,Normal
Acton,MA,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,54245941.0,842786.0,Normal,Normal
Acton,ME,9536.417118000001,15635.2948,35.0,223.0,1865.0,40.0,3807.0,2024037.0,456965.0,Normal,Normal
Acton,NH,5721.850271,9381.176879,35.0,223.0,1865.0,40.0,3807.0,2024037.0,456965.0,Normal,Normal
Acushnet,MA,6221.92,10168.81,163.0,1566.0,9506.0,518.0,66727.0,10316630.0,8010036.0,Normal,High
Acworth,NH,677.391397,1212.266615,6.0,58.0,402.0,0.0,0.0,436333.0,0.0,Normal,Normal
Ada,MN,14772.15671,40480.8901,53.0,733.0,7381.0,0.0,5.0,7988601.0,549.0,Normal,Normal
Ada,OH,6209.221552,10039.58235,74.0,594.0,5869.0,87.0,15845.0,10006792.0,1902018.0,Normal,Normal
Ada,OK,6221.92,10168.81,42.0,417.0,4199.0,231.0,33615.0,6139039.0,4035261.0,Normal,High
Adair,IA,2072.1967210000007,3092.692203,29.0,126.0,1382.0,67.0,11114.0,1495418.0,1334166.0,Normal,Normal
Adair,OK,906.9795072999999,1274.917941,11.0,122.0,1608.0,0.0,0.0,3412069.0,0.0,Normal,Normal
Adair Village,OR,550.892296,1459.215692,6.0,118.0,1285.0,10.0,1054.0,1585439.0,126553.0,Normal,Normal
Adams,MA,43123.65814,68317.15992,160.0,4255.0,28732.0,825.0,92321.0,31181355.0,11082454.0,High,Very High
Adams,MN,2013.8863760000002,2867.447263,23.0,321.0,3406.0,0.0,0.0,3686416.0,0.0,Normal,Normal
Adams,ND,725.7033867,839.5932541000003,6.0,79.0,1010.0,5.0,965.0,1093545.0,115798.0,Normal,Normal
Adams,NE,2374.812265,3840.979379,5.0,5.0,47.0,4.0,684.0,51078.0,82109.0,Normal,Normal
Adams,NY,45056.12121000001,70929.88975,82.0,1530.0,14555.0,194.0,38572.0,26206763.0,4630284.0,High,High
Adams,PA,30933.265989999996,54891.4348,239.0,2021.0,22143.0,0.0,0.0,39040076.0,6.0,High,Normal
Adams,WI,13308.90424,21226.48689,63.0,513.0,4546.0,151.0,22211.0,5933388.0,2666261.0,Normal,Normal
Adamstown,PA,7029.689213,10425.4557,21.0,475.0,5554.0,91.0,11150.0,10702624.0,1338443.0,Normal,Normal
Adamsville,TN,12166.29245,20121.23633,92.0,984.0,7890.0,0.0,25.0,13225297.0,2966.0,Normal,Normal
Addieville,IL,818.6689486,872.3379904999997,7.0,87.0,981.0,0.0,0.0,1002571.0,0.0,Normal,Normal
Addis,LA,4406.560276,6319.626629,27.0,153.0,1438.0,0.0,0.0,2294412.0,18.0,Normal,Normal
